project_17223,6,1/01/2018
628351a53937f90016199124,68,
project_4984,250,2/01/1970
61caf115573dfc0014da6d86,158,
project_4388,588,31/12/1995
project_12324,131,2/01/1970
project_15914,30,31/12/2014
project_5715,69,2/01/1970
project_12554,81,2/01/1970
project_2394,123,4/07/2016
project_9058,168,2/01/1970
project_3648,348,2/01/1970
project_4113,170,2/01/1970
project_17301,164,31/12/2019
5ebe12c684c1860019f32301,5,1/01/2019
project_2032,46,31/12/2017
project_13682,348,1/01/2021
project_16539,12,2/01/1970
project_3112,331,31/12/2017
project_15715,205,2/01/1970
project_16416,268,2/01/1970
project_2358,82,31/12/2017
project_8574,283,31/12/2016
project_12232,226,2/01/1970
5ed75289bd8bcc001a5c0329,56,1/01/1993
project_5541,160,31/12/2015
project_6685,368,19/03/2013
project_14949,242,31/12/2017
project_8722,77,2/01/1970
project_4667,100,2/01/1970
5e60bb9f5396bf0012e9414b,177,1/01/2021
5f3fa25a6320a60019751388,59,1/01/2018
project_6502,49,31/12/1999
project_6089,88,31/07/2012
project_5857,77,2/01/1970
project_2768,194,2/01/1970
project_3162,48,2/01/1970
project_2219,444,31/12/2019
project_6288,8,2/01/1970
project_17183,130,1/01/2019
project_7857,995,31/12/2009
project_7913,901,31/12/2011
project_7926,291,31/12/2016
61304a871685a90014c6a421,,
project_8635,49,31/10/2014
project_12722,190,2/01/1970
5f9bc22583e9c60019e14271,,1/01/2023
project_8144,217,2/01/1970
project_2338,57,31/12/2014
project_2355,276,31/10/2014
project_8198,18,2/01/1970
project_4470,233,1/01/1997
project_4064,112,31/03/2008
project_9628,78,31/12/2007
609911263422b400139fb8ae,9,1/01/2019
project_7080,375,31/12/2014
61233bd923a53800153ef154,420,
60488aeca8b9ee0013d7ebac,1202,
project_15071,1253,31/12/2021
project_5346,243,2/01/1970
project_12131,152,2/01/1970
project_8636,63,2/01/1970
project_2529,498,31/03/2016
project_2896,21,2/01/1970
project_3241,86,31/12/2014
project_15788,528,2/01/1970
project_16117,282,31/12/2019
project_15326,299,31/12/2019
project_8274,18,2/01/1970
project_6920,79,31/12/2008
project_2283,274,31/03/2015
project_5844,125,2/01/1970
project_8086,195,31/07/2012
project_5072,229,2/01/1970
626a1d6b54ecb20016075698,812,
project_6090,100,31/12/1995
project_17473,122,31/12/2020
project_16479,82,31/12/1997
project_2041,214,31/12/2015
project_2478,410,31/12/2013
project_9392,137,31/12/2011
project_16194,455,9/04/2014
project_15649,96,2/01/1970
project_9386,30,2/01/1970
project_2691,27,31/12/2013
project_12594,26,2/01/1970
project_6281,236,31/12/1997
project_5545,374,31/12/1995
project_7818,1170,31/12/2017
project_12490,18,2/01/1970
project_5837,,2/01/1970
project_15148,325,1/01/2021
project_6665,94,30/06/2019
project_8188,118,2/01/1970
project_3009,205,31/12/2019
5ee1f0cadda791001299b4f2,189,1/01/2022
project_5097,22,2/01/1970
project_2048,108,31/12/2017
61c3099cf9089f0018da01b0,105,
project_16605,170,2/01/1970
project_7176,8,2/01/1970
project_12716,349,2/01/1970
project_3395,76,31/08/2017
project_3093,950,30/06/2017
project_9083,20,2/01/1970
project_15877,,2/01/1970
5ed081e93f22b60012577659,132,
project_5113,130,2/01/1970
project_2397,109,31/12/2016
project_16686,474,31/12/2020
project_3958,,2/01/1970
project_4776,4160,31/12/2013
60a244c83422b400139fba34,8,1/01/2017
project_2544,166,31/01/2016
project_6458,1440,2/01/1970
5ed718a561c7140012c4dbdf,48,1/01/2008
project_4735,,2/01/1970
605ae676423c910014e3e7bc,207,
project_5846,302,2/01/1970
project_6582,,2/01/1970
project_8053,35,31/12/2009
project_16444,107,2/01/1970
project_2144,125,1/01/2016
5e955e969f161600121b5617,8,1/01/2020
project_5909,420,31/12/1996
project_2303,250,31/12/2016
project_6264,1002,31/12/2014
project_2165,570,1/01/2017
project_9369,80,2/01/1970
project_8763,197,2/01/1970
project_5027,,2/01/1970
project_3226,161,31/12/2014
5e81969d1990b500126d1d6c,16,1/01/2022
project_17124,487,31/12/2019
project_2590,145,2/01/1970
project_3979,295,2/01/1970
project_11909,361,2/01/1970
project_9596,361,31/12/2012
project_3917,349,31/03/2010
project_12620,288,2/01/1970
project_15866,32,2/01/1970
project_4986,46,31/12/2008
project_6844,120,31/12/1997
project_9122,,2/01/1970
5ec209c684c1860019f325b6,160,
project_6231,20,2/01/1970
project_4903,111,2/01/1970
project_8935,636,31/10/2018
project_5604,155,31/12/1993
project_3578,239,31/12/2016
project_4942,,31/12/2009
project_3171,116,31/12/2012
project_16236,179,2/01/1970
project_6842,68,31/12/2007
project_12654,10,2/01/1970
project_16396,150,2/01/1970
61d556e348e11a00140bbe32,,
project_3164,634,31/12/2016
project_16817,868,2/01/1970
project_16794,570,1/01/2020
624d26c0aae18f0013406d39,,
project_7897,998,31/12/2009
project_15693,176,2/01/1970
project_3620,445,30/09/2016
project_4495,140,2/01/1970
project_3933,170,2/01/1970
project_7191,3280,2/01/1970
project_4468,620,2/01/1970
project_12402,32,2/01/1970
605ae2c0423c910014e3e7b5,183,
5e708c7a944232001a5d47d8,,1/01/2019
project_13346,352,1/01/2019
5f9fbd6ba3326800191e296b,,
project_8160,660,31/12/2015
project_16832,4,
project_16637,451,27/09/2015
project_4099,144,2/01/1970
project_16047,40,2/01/1970
project_16253,590,2/01/1970
project_4685,166,2/01/1970
project_4123,210,2/01/1970
project_9069,,2/01/1970
project_9991,331,2/01/1970
project_7193,145,2/01/1970
project_16283,185,2/01/1970
project_14982,49,31/12/2018
project_4341,13,2/01/1970
project_16884,176,2/01/1970
project_8377,20,2/01/1970
project_4935,169,31/12/1999
project_8500,71,2/01/1970
project_16340,216,31/12/2006
project_8187,495,1/01/2019
project_5274,125,2/01/1970
project_17080,174,2/01/1970
project_4766,92,2/01/1970
5ec356a484c1860019f329d2,90,
project_12028,92,2/01/1970
project_3716,98,31/07/2019
project_8858,31,2/01/1970
project_9362,297,2/01/1970
project_4672,,2/01/1970
project_7330,96,2/01/1970
project_8843,13,2/01/1970
project_4540,308,31/12/2010
